{0,28,106,"Muted Banjo",11},
{0,96,106,"Rabab",5},
{0,97,106,"Gopichant",9},
{0,98,106,"Oud",3},
{0,0,107,"Shamisen",8},
{0,0,108,"Koto",4},
{0,96,108,"Taisho-kin",10},
{0,97,108,"Kanoon",6},
{0,0,109,"Kalimba",7},
{0,0,110,"Bagpipe",7},
{0,0,111,"Fiddle",6},
{0,0,112,"Shehnai",7},
{0,0,113,"Tinkle Bell",11},
{0,96,113,"Bonang",6},
{0,97,113,"Altair",6},
{0,98,113,"Gamelan Gongs",13},
{0,99,113,"Stereo Gamelan Gongs",20},
{0,100,113,"Rama Cymbal",11},
{0,0,114,"Agogo",5},
{0,0,115,"Steel Drums",11},
{0,97,115,"Glass Percussion",16},
{0,98,115,"Thai Bells",10},
{0,0,116,"Woodblock",9},
{0,96,116,"Castanets",9},
{0,0,117,"Taiko Drum",10},
{0,96,117,"Gran Cassa",10},
{0,0,118,"Melodic Tom",11},
{0,64,118,"Melodic Tom 2",13},
{0,65,118,"Real Tom",8},
{0,66,118,"Rock Tom",8},
{0,0,119,"Synth Drum",10},
{0,64,119,"Analog Tom",10},
{0,65,119,"Electronic Percussion",21},
{0,0,120,"Reverse Cymbal",14},
{0,0,121,"Fret Noise",10},
{0,0,122,"Breath Noise",12},
{0,0,123,"Seashore",8},
{0,0,124,"Bird Tweet",10},
{0,0,125,"Telephone Ring",14},
{0,0,126,"Helicopter",10},
{0,0,127,"Applause",8},
{0,0,128,"Gunshot",7},
{64,0,1,"Cutting Noise 1",15},
{64,0,2,"Cutting Noise 2",15},
{64,0,4,"String Slap",11},
{64,0,17,"Flute Key Click",15},
{64,0,33,"Shower",6},
{64,0,34,"Thunder",7},
{64,0,35,"Wind",4},
{64,0,36,"Stream",6},
{64,0,37,"Bubble",6},
{64,0,38,"Feed",4},
{64,0,49,"Dog",3},
{64,0,50,"Horse",5},
{64,0,51,"Bird Tweet 2",12},
{64,0,56,"Maou",4},
{64,0,65,"Phone Call",10},
{64,0,66,"Door Squeak",11},
{64,0,67,"Door Slam",9},
{64,0,68,"Scratch Cut",11},
{64,0,69,"Scratch Split",13},
{64,0,70,"Wind Chime",10},
{64,0,71,"Telephone Ring 2",16},
{64,0,81,"Car Engine Ignition",19},
{64,0,82,"Car Tires Squeal",16},
{64,0,83,"Car Passing",11},
{64,0,84,"Car Crash",9},
{64,0,85,"Siren",5},
{64,0,86,"Train",5},
{64,0,87,"Jet Plane",9},
{64,0,88,"Starship",8},
{64,0,89,"Burst",5},
{64,0,90,"Roller Coaster",14},
{64,0,91,"Submarine",9},
{64,0,97,"Laugh",5},
{64,0,98,"Scream",6},
{64,0,99,"Punch",5},
{64,0,100,"Heartbeat",9},
{64,0,101,"Footsteps",9},
{64,0,113,"Machine Gun",11},
{64,0,114,"Laser Gun",9},
{64,0,115,"Explosion",9},
{64,0,116,"Firework",8},
